CODGEO,LIBCOM,cadres,ouvriers,total
01140,Curtafond,28.5758284555978,47.2284903079897,75.8043187635875
01141,Cuzieu,0.0,46.1962451522135,46.1962451522135
01142,Dagneux,336.494507010352,235.324360161026,571.818867171378
01143,Divonne-les-Bains,1531.92827895835,210.730617279861,1742.658896238211
01145,Dompierre-sur-Veyle,29.9348028384038,93.2159190590196,123.1507218974234
01146,Dompierre-sur-Chalaronne,4.97783113506808,20.0337356677276,25.01156680279568
01147,Domsure,23.8423008693793,57.2068950993358,81.04919596871511
01148,Dortan,66.0419474970438,177.689711469231,243.7316589662748
01149,Douvres,84.6243914728061,50.1497665880929,134.774158060899
01150,Drom,25.1168224299065,15.0700934579439,40.1869158878504
01151,Druillat,34.7418680452656,104.574891874065,139.3167599193306
01152,Échallon,59.5869628345354,78.8565564998645,138.4435193343999
01153,Échenevex,272.258253033508,77.4349751029537,349.6932281364617
01155,Évosges,0.0,15.0,15.0
01156,Faramans,81.1417458606652,48.6949393226016,129.8366851832668
01157,Fareins,130.246470406656,111.004151049603,241.25062145625898
01158,Farges,75.2648848493048,76.0087765938722,151.273661443177
01159,Feillens,110.552897930901,295.76974586721,406.322643798111
01160,Ferney-Voltaire,1110.81471312113,485.159585688053,1595.974298809183
01162,Flaxieu,9.84615384615385,0.0,9.84615384615385
01163,Foissiat,29.6710469986968,160.03347404279,189.7045210414868
01165,Francheleins,129.840067679202,54.2938474619923,184.1339151411943
01166,Frans,150.857824453158,136.42887436131,287.28669881446797
01167,Garnerans,25.4129810691352,61.582837379958,86.9958184490932
01169,Genouilleux,51.2218770579132,57.1269525660297,108.34882962394289
01170,Béard-Géovreissiat,19.8679559402695,135.823528663804,155.6914846040735
01171,Géovreisset,36.9182301831394,67.3223884348218,104.2406186179612
01173,Gex,1171.32482466673,865.117090319574,2036.4419149863038
01174,Giron,0.0,10.0,10.0
01175,Gorrevod,9.26710986792628,90.7430121613687,100.01012202929498
01177,Grand-Corent,10.0546448087432,10.0546448087432,20.1092896174864
01179,Grièges,50.102660474219,166.539026580779,216.641687054998
01180,Grilly,138.401163378989,35.8472165534069,174.2483799323959
01181,Groissiat,39.8430541126945,118.06284744242,157.9059015551145
01183,Guéreins,119.569108866585,54.8500234334398,174.41913230002478
01184,Hautecourt-Romanèche,25.0171154378256,44.9557195924067,69.9728350302323
01185,Plateau d'Hauteville,130.325390585946,332.38274006164,462.708130647586
01187,Haut Valromey,38.3721617148536,14.2717374764443,52.6438991912979
01188,Illiat,15.1733132491861,60.6916641006767,75.8649773498628
01189,Injoux-Génissiat,45.5713702680683,146.018624773516,191.5899950415843
01191,Izenave,4.78395061728395,23.9197530864198,28.70370370370375
01192,Izernore,100.196692229732,361.114859483351,461.31155171308296
01193,Izieu,9.91420374188466,38.9582595836598,48.87246332554446
01194,Jassans-Riottier,270.148517748813,336.233472846649,606.381990595462
01195,Jasseron,83.1601470750372,83.0190658271478,166.179212902185
01196,Jayat,58.4651846079316,134.133016220933,192.5982008288646
01197,Journans,9.8502363098312,14.645520733301,24.4957570431322
01198,Joyeux,14.095899295857,15.1073225026601,29.2032217985171
01199,Jujurieux,89.3568252053775,183.118708387683,272.4755335930605
01200,Labalme,19.7103441111585,24.6379301389482,44.3482742501067
01202,Lagnieu,343.470275829859,590.391987873155,933.862263703014
01203,Laiz,40.6212291017041,134.823251696306,175.4444807980101
01204,Le Poizat-Lalleyriat,30.6615049976324,61.3819264659709,92.0434314636033
01206,Lantenay,21.2491636522931,21.8333926898621,43.0825563421552
01207,Lapeyrouse,22.8321560067086,18.8896684149523,41.7218244216609
01208,Lavours,0.0,10.0740740740741,10.0740740740741
01209,Léaz,47.150453378145,63.3543820050451,110.50483538319011
01210,Lélex,5.00162076183999,45.0684989589071,50.07011972074709
01211,Lent,79.5556996985681,51.364697706214,130.9203974047821
