CODGEO,AAV2020,LIBAAV2020,CATEAAV2020
02056,000,Commune hors attraction des villes,30
02057,094,Saint-Quentin,20
02058,036,Reims,20
02059,283,Tergnier,12
02060,094,Saint-Quentin,20
02061,571,Bohain-en-Vermandois,20
02062,001,Paris,20
02063,094,Saint-Quentin,20
02064,128,Soissons,12
02065,094,Saint-Quentin,20
02066,094,Saint-Quentin,20
02067,494,Le Nouvion-en-Thiérache,20
02068,000,Commune hors attraction des villes,30
02069,000,Commune hors attraction des villes,30
02070,094,Saint-Quentin,20
02071,128,Soissons,20
02072,036,Reims,20
02073,036,Reims,20
02074,136,Laon,20
02075,094,Saint-Quentin,20
02076,036,Reims,20
02078,000,Commune hors attraction des villes,30
02079,308,Hirson,20
02080,136,Laon,20
02081,273,Chauny,20
02082,209,Château-Thierry,20
02083,209,Château-Thierry,20
02084,001,Paris,20
02085,209,Château-Thierry,20
02086,273,Chauny,20
02087,128,Soissons,20
02088,136,Laon,20
02089,128,Soissons,20
02090,001,Paris,20
02091,036,Reims,20
02093,000,Commune hors attraction des villes,30
02094,209,Château-Thierry,20
02095,571,Bohain-en-Vermandois,11
02096,136,Laon,20
02097,000,Commune hors attraction des villes,30
02098,209,Château-Thierry,20
02099,209,Château-Thierry,20
02100,094,Saint-Quentin,20
02101,000,Commune hors attraction des villes,30
02102,036,Reims,20
02103,494,Le Nouvion-en-Thiérache,12
02104,036,Reims,20
02105,001,Paris,20
02106,036,Reims,20
02107,000,Commune hors attraction des villes,30
02108,136,Laon,20
02109,308,Hirson,20
02110,000,Commune hors attraction des villes,30
02111,000,Commune hors attraction des villes,30
02112,094,Saint-Quentin,20
02114,209,Château-Thierry,20
02115,000,Commune hors attraction des villes,30
02116,562,Vervins,20
02117,094,Saint-Quentin,20
02118,128,Soissons,20
02119,209,Château-Thierry,20
02120,128,Soissons,20
02121,209,Château-Thierry,20
02122,136,Laon,20
02123,094,Saint-Quentin,20
02124,094,Saint-Quentin,20
02125,001,Paris,20
02126,000,Commune hors attraction des villes,30
02127,209,Château-Thierry,20
02128,136,Laon,20
02129,036,Reims,20
02130,308,Hirson,20
02131,128,Soissons,20
02132,136,Laon,20
02133,136,Laon,20
02134,308,Hirson,12
02135,000,Commune hors attraction des villes,30
02136,000,Commune hors attraction des villes,30
02137,001,Paris,20
02138,128,Soissons,20
02139,273,Chauny,20
02140,000,Commune hors attraction des villes,30
02141,000,Commune hors attraction des villes,30
02142,094,Saint-Quentin,20
02143,094,Saint-Quentin,20
02144,094,Saint-Quentin,20
02145,273,Chauny,20
02146,000,Commune hors attraction des villes,30
02148,128,Soissons,20
02149,094,Saint-Quentin,20
02150,000,Commune hors attraction des villes,30
02151,136,Laon,20
02152,000,Commune hors attraction des villes,30
02153,136,Laon,20
02154,128,Soissons,20
02155,136,Laon,20
02156,136,Laon,20
02157,136,Laon,20
02158,136,Laon,20
02159,000,Commune hors attraction des villes,30
02160,000,Commune hors attraction des villes,30
02162,001,Paris,20
02163,001,Paris,20
02164,209,Château-Thierry,20
02165,283,Tergnier,12
02166,209,Château-Thierry,20
02167,128,Soissons,20
02168,209,Château-Thierry,11
02169,000,Commune hors attraction des villes,30
02170,094,Saint-Quentin,20
02171,036,Reims,20
02172,128,Soissons,20
02173,273,Chauny,11
02174,136,Laon,20
02175,128,Soissons,20
02176,128,Soissons,20
02177,136,Laon,20
02178,136,Laon,20
02179,036,Reims,20
02180,136,Laon,20
02181,000,Commune hors attraction des villes,30
02182,000,Commune hors attraction des villes,30
02183,136,Laon,20
02184,000,Commune hors attraction des villes,30
02185,001,Paris,20
02186,001,Paris,20
02187,209,Château-Thierry,20
02188,000,Commune hors attraction des villes,30
02189,136,Laon,20
02190,128,Soissons,20
02191,136,Laon,20
02192,001,Paris,20
02193,000,Commune hors attraction des villes,30
02194,000,Commune hors attraction des villes,30
02195,128,Soissons,20
02196,136,Laon,20
02197,000,Commune hors attraction des villes,30
02198,128,Soissons,20
02199,094,Saint-Quentin,20
02200,000,Commune hors attraction des villes,30
02201,000,Commune hors attraction des villes,30
02203,209,Château-Thierry,20
02204,308,Hirson,20
02205,136,Laon,20
02206,466,Guise,20
02207,273,Chauny,20
02208,036,Reims,20
02209,209,Château-Thierry,20
02210,128,Soissons,20
02211,036,Reims,20
02212,273,Chauny,20
02213,209,Château-Thierry,20
02214,094,Saint-Quentin,20
02215,036,Reims,20
02216,001,Paris,20
02217,000,Commune hors attraction des villes,30
02218,136,Laon,20
02219,000,Commune hors attraction des villes,30
02220,036,Reims,20
02221,001,Paris,20
02222,000,Commune hors attraction des villes,30
02223,209,Château-Thierry,20
02224,000,Commune hors attraction des villes,30
02225,001,Paris,20
02226,128,Soissons,20
02227,209,Château-Thierry,20
02228,209,Château-Thierry,20
02229,000,Commune hors attraction des villes,30
02230,128,Soissons,20
02231,136,Laon,20
02232,001,Paris,20
02233,209,Château-Thierry,20
02234,036,Reims,20
02235,036,Reims,20
02236,128,Soissons,20
02237,136,Laon,20
02238,136,Laon,20
02239,209,Château-Thierry,20
02240,094,Saint-Quentin,20
02241,209,Château-Thierry,20
02242,001,Paris,20
02243,128,Soissons,20
02244,000,Commune hors attraction des villes,30
02245,128,Soissons,20
02246,450,Ham,20
02248,136,Laon,20
02249,000,Commune hors attraction des villes,30
02250,036,Reims,20
02251,000,Commune hors attraction des villes,30
02252,036,Reims,20
02253,128,Soissons,20
02254,128,Soissons,20
02255,000,Commune hors attraction des villes,30
02256,000,Commune hors attraction des villes,30
02257,094,Saint-Quentin,20
02258,001,Paris,20
02259,001,Paris,20
02260,283,Tergnier,12
02261,136,Laon,20
02262,283,Tergnier,20
02263,036,Reims,20
02264,036,Reims,20
02265,000,Commune hors attraction des villes,30
02266,000,Commune hors attraction des villes,30
02267,128,Soissons,20
02268,001,Paris,20
02269,494,Le Nouvion-en-Thiérache,20
02270,094,Saint-Quentin,20
02271,036,Reims,20
02272,128,Soissons,20
02273,094,Saint-Quentin,20
02274,136,Laon,20
02275,308,Hirson,20
02276,000,Commune hors attraction des villes,30
02277,128,Soissons,20
02278,308,Hirson,20
02279,209,Château-Thierry,20
02280,209,Château-Thierry,20
02281,001,Paris,20
02282,136,Laon,20
02283,136,Laon,20
02284,000,Commune hors attraction des villes,30
02286,494,Le Nouvion-en-Thiérache,20
02287,094,Saint-Quentin,20
02288,094,Saint-Quentin,20
02289,001,Paris,20
02290,209,Château-Thierry,20
02291,094,Saint-Quentin,20
02292,001,Paris,20
02293,094,Saint-Quentin,20
02294,136,Laon,20
02295,000,Commune hors attraction des villes,30
02296,094,Saint-Quentin,20
02297,209,Château-Thierry,20
02298,494,Le Nouvion-en-Thiérache,20
02299,036,Reims,20
02302,001,Paris,20
02303,094,Saint-Quentin,20
02304,283,Tergnier,12
02305,000,Commune hors attraction des villes,30
02306,000,Commune hors attraction des villes,30
02307,001,Paris,20
02308,494,Le Nouvion-en-Thiérache,20
02309,136,Laon,20
02310,094,Saint-Quentin,20
02311,136,Laon,20
02312,000,Commune hors attraction des villes,30
02313,466,Guise,20
02315,094,Saint-Quentin,20
02316,001,Paris,20
02317,094,Saint-Quentin,20
02318,000,Commune hors attraction des villes,30
02319,094,Saint-Quentin,20
02320,094,Saint-Quentin,20
02321,562,Vervins,20
02322,094,Saint-Quentin,20
02323,094,Saint-Quentin,20
02324,494,Le Nouvion-en-Thiérache,20
02326,128,Soissons,20
02327,094,Saint-Quentin,20
02328,209,Château-Thierry,20
02329,136,Laon,20
02330,094,Saint-Quentin,20
02331,562,Vervins,20
02332,209,Château-Thierry,20
02333,000,Commune hors attraction des villes,30
02334,094,Saint-Quentin,20
02335,136,Laon,20
02336,273,Chauny,20
02337,308,Hirson,20
02338,136,Laon,20
02339,001,Paris,20
02340,094,Saint-Quentin,20
02341,562,Vervins,20
02342,308,Hirson,20
02343,094,Saint-Quentin,20
02345,094,Saint-Quentin,20
02346,136,Laon,20
02347,209,Château-Thierry,20
02349,036,Reims,20
02350,136,Laon,20
02351,036,Reims,20
02352,094,Saint-Quentin,20
02353,136,Laon,20
02354,000,Commune hors attraction des villes,30
02355,094,Saint-Quentin,20
02356,209,Château-Thierry,20
02357,562,Vervins,20
02358,000,Commune hors attraction des villes,30
02359,094,Saint-Quentin,20
02360,036,Reims,20
02361,466,Guise,11
02362,273,Chauny,20
02363,000,Commune hors attraction des villes,30
02364,036,Reims,20
02366,466,Guise,20
02367,094,Saint-Quentin,20
02368,001,Paris,20
02369,562,Vervins,20
02370,094,Saint-Quentin,20
02371,094,Saint-Quentin,20
02372,128,Soissons,20
02373,562,Vervins,20
02374,094,Saint-Quentin,20
02375,001,Paris,20
02376,094,Saint-Quentin,20
02377,000,Commune hors attraction des villes,30
02378,308,Hirson,20
02379,000,Commune hors attraction des villes,30
02380,094,Saint-Quentin,20
02381,308,Hirson,11
02382,094,Saint-Quentin,20
02383,094,Saint-Quentin,20
02384,562,Vervins,20
02385,000,Commune hors attraction des villes,30
02386,466,Guise,20
02387,094,Saint-Quentin,20
02388,000,Commune hors attraction des villes,30
02389,209,Château-Thierry,20
02390,094,Saint-Quentin,20
02391,000,Commune hors attraction des villes,30
02392,094,Saint-Quentin,20
02393,000,Commune hors attraction des villes,30
02395,128,Soissons,20
02396,036,Reims,20
02397,094,Saint-Quentin,20
02398,128,Soissons,20
02399,036,Reims,20
02400,128,Soissons,20
02401,562,Vervins,20
02402,094,Saint-Quentin,20
02403,466,Guise,20
02404,562,Vervins,20
02405,308,Hirson,20
02406,128,Soissons,20
02407,136,Laon,20
02408,136,Laon,11
02409,000,Commune hors attraction des villes,30
02410,001,Paris,20
02411,209,Château-Thierry,20
02412,128,Soissons,20
02413,136,Laon,20
02414,466,Guise,20
02415,001,Paris,20
02416,000,Commune hors attraction des villes,30
02417,094,Saint-Quentin,20
02418,000,Commune hors attraction des villes,30
02419,494,Le Nouvion-en-Thiérache,20
02420,094,Saint-Quentin,20
02421,128,Soissons,20
02422,466,Guise,20
02423,128,Soissons,20
02424,128,Soissons,20
02425,308,Hirson,20
02426,094,Saint-Quentin,20
02427,036,Reims,20
02428,001,Paris,20
02429,136,Laon,20
02430,136,Laon,20
02431,283,Tergnier,20
02432,000,Commune hors attraction des villes,30
02433,000,Commune hors attraction des villes,30
02435,308,Hirson,20
02438,000,Commune hors attraction des villes,30
02439,036,Reims,20
02440,036,Reims,20
02441,001,Paris,20
02442,000,Commune hors attraction des villes,30
02443,001,Paris,20
02444,562,Vervins,20
02445,308,Hirson,20
02446,094,Saint-Quentin,20
02447,128,Soissons,20
02448,136,Laon,20
02449,001,Paris,20
02450,466,Guise,20
02451,094,Saint-Quentin,20
02452,094,Saint-Quentin,20
02453,036,Reims,20
02454,036,Reims,20
02455,466,Guise,20
02456,273,Chauny,20
02457,136,Laon,20
02458,001,Paris,20
02459,094,Saint-Quentin,20
02460,000,Commune hors attraction des villes,30
02461,273,Chauny,20
02462,000,Commune hors attraction des villes,30
02463,000,Commune hors attraction des villes,30
02464,128,Soissons,20
02465,001,Paris,20
02466,001,Paris,20
02467,000,Commune hors attraction des villes,30
02468,000,Commune hors attraction des villes,30
