AAV2020;LIBAAV2020;TAAV2017;TDAAV2017;NB_COM;AAV;pop20;surfcom2023;artif_total;artif_par_hab;art22act23;art22hab23;ratio_act_hab;densite_pop;mepart1420;artpop1420;categorie_taille
078;Compiègne;2;24;101;078;142038;891049396;8182184;11941.089919301638;61293;107673;79.19977924750201;1.419644972280067;12.374356435643564;43953.37;Petite
079;Roanne;2;24;88;079;141028;1455303410;10915118;12572.272695115813;304745;267740;1.5123150482410508;1.2924290878795741;1.5646590909090905;17596.009999999995;Petite
080;Bourg-en-Bresse;2;24;80;080;141908;1334882241;11099822;8388.013867627786;101796;451088;0.2195838474295156;1.0391198313632413;31.558249999999997;17597.44;Petite
081;Montauban;2;24;50;081;141200;1216939390;12903808;6149.681701299607;34550;328856;0.19789310176057032;0.8312612232199621;5.9277999999999995;59094.43;Petite
082;Albi;2;24;91;082;138501;1313969163;9007769;10165.853951607454;13815;365012;0.045446287603191055;0.9946186287544466;4.4484615384615385;248027.25;Petite
083;Évreux;2;24;108;083;136155;1225957441;7602304;9852.290013018523;65146;299065;0.22629748009370348;1.0282211419360878;3.094722222222223;61919.42;Petite
084;Mâcon;2;24;105;084;138374;1078523168;10152629;10518.710940221068;57727;495375;0.8258576310419319;1.6149697603036446;9.052095238095239;166846.6;Petite
085;Tarbes;2;24;153;085;136460;972084771;7822532;16088.315465753194;134874;365886;0.36090827877817927;1.128225112362992;6.73686274509804;-4533.17;Petite
086;Belfort;2;24;91;086;131823;633568125;6402567;9201.679687791711;35290;243310;0.6278273105102649;2.0281595065971607;-3.989999999999999;-18623.920000000002;Petite
087;Brive-la-Gaillarde;2;24;80;087;132889;1338578899;15717558;15269.429686764786;75336;568741;0.051591820596898964;0.7951062981653948;1.706375;91523.52;Petite
088;Saint-Malo;2;24;35;088;136449;487947579;9398534;3164.8980287109844;141951;407128;2.080275043693897;3.1431663810625667;215.95999999999998;5709.67;Petite
089;Alès;2;24;64;089;132041;811661860;7569532;5018.682798219787;112289;216872;0.45776025721474295;1.3998396842261775;-10.205;-17681.229999999996;Petite
090;Charleville-Mézières;2;24;132;090;125984;1373982708;10073853;29460.415904713194;21714;192348;0.29504520005572427;0.8171984862252866;-17.027348484848485;27277.14;Petite
091;Carcassonne;2;23;115;091;124405;1498185416;9174887;14862.243795314966;113610;274520;1.3279143039478145;0.7238134878673791;26.800695652173914;34439.06999999999;Petite
092;Fréjus;2;23;6;092;126384;439536448;4456966;422.9136147659236;41549;230558;0.17027593487343176;2.6128196720652;36.38166666666667;3371.49;Petite
093;Agen;2;23;81;093;120319;1207684225;11097377;12243.983677346396;170518;424261;0.6440470907901253;1.0990082618582016;-0.7422222222222222;48115.37;Petite
094;Saint-Quentin;2;23;120;094;119009;994575595;3491633;5397.593512062529;36276;147201;0.35090663058186744;0.915808972189625;-4237.6205;20624.37999999999;Petite
095;Épinal;2;23;118;095;119099;1296197012;6510275;12400.669165028472;295980;178102;3.7916225543982587;0.7728864819463049;-22.04576271186441;-153900.66;Petite
096;Saint-Omer;2;23;79;096;117466;721002120;11528079;11247.145802847795;335266;421342;0.9085667477002634;1.6198666670684532;-2.041645569620253;110339.12;Petite
097;Nevers;2;23;93;097;113728;2101833828;5104093;7562.158485429684;83629;247380;0.16624648612870901;0.7208253892256192;-24.718494623655914;-50146.96;Petite
098;Ajaccio;2;23;79;098;117405;1895723837;7768161;8282.78965219854;135175;276924;0.10064316527019881;0.37854844118801945;66.04759493670886;29024.41;Petite
100;Châteauroux;2;23;71;100;112779;2308816378;13635008;13890.394259412527;727305;455187;2.5385905896198393;0.5324747433933672;-3.795915492957747;39373.04;Petite
101;Périgueux;2;23;49;101;113046;1090138600;11299220;7658.716503331648;9784;340863;0.039196541924388886;1.3509944313819204;21.96775510204082;-14105.479999999998;Petite
102;Auxerre;2;23;104;102;111344;1658620282;5011989;6178.744492594776;58353;134171;0.43157330696933743;0.6580575422252645;-26.07528846153846;8802.980000000001;Petite
103;Rodez;2;23;68;103;112817;2002651197;9814064;9282.172987602466;96111;304929;1.8141295437873481;0.8149108041040539;9.593235294117648;43933.64;Petite
104;Bastia;2;23;93;104;112990;1084230746;6527374;6004.663513539474;36674;593136;0.023650515221818845;0.6989885475454823;6.904086021505376;20139.420000000002;Petite
105;Castres;2;23;55;105;105009;1036563658;8578693;7849.498329470654;14692;256991;0.0652750365831195;0.8704319206789098;-5.461636363636364;-5443.830000000002;Petite
106;Mont-de-Marsan;2;23;101;106;101849;2504571097;15030864;23276.270639868984;59152;495718;0.3675574679162854;0.4349110164995936;3.514851485148515;246219.4;Petite
107;Montélimar;2;22;45;107;100095;759384838;7995858;4206.783223141786;139581;507823;0.338881569372197;1.1916313146271769;12.018444444444444;17146.33;Petite
108;Cambrai;2;22;64;108;93452;504358280;3993870;6194.022219115698;9798;45904;0.13825217564829753;1.7473444303473373;8.833124999999999;-11192.489999999996;Petite
109;Montluçon;2;22;58;109;90659;1323006148;8221846;10518.56045372581;14779;294299;0.09337332406487545;0.7886884980366504;-10.702068965517242;13455.519999999999;Petite
110;Vichy;2;22;50;110;91229;857832498;7088164;7893.8782574509;13174;204931;0.20029080594271417;1.7589264338920572;0.13079999999999994;-97601.13;Petite
111;Dax;2;22;60;111;91952;1043485446;12884207;11796.292960671195;28772;588211;0.12444269627944991;0.9661328318094236;5.599333333333333;116581.41;Petite
112;Châlons-en-Champagne;2;22;97;112;87023;1745737138;6178135;20669.401129864444;38196;114252;0.48802421215540726;0.49204853362028006;-9.063298969072166;-26289.78;Petite
113;Lannion;2;22;40;113;86042;622321161;6211259;3419.2494746822767;122124;394458;4.2686919262838074;1.3074446224666947;3.653;16590.96;Petite
114;Dieppe;2;22;62;114;82152;553384830;6470452;8714.218943787602;94219;439435;0.7291216005532112;1.3610398682796732;-9.379193548387097;-2087.1100000000006;Petite
